link,name,address,price,is_negotiable,emi_price,emi_rate,carpet_area,carpet_area_unit,no_of_bedrooms,posted_on,no_of_bathroom,balcony,apartment,parking,power_backup,age_of_building,ownership_type,maintenance_charges,flooring,buildup_area,carpet_area_2,furnish_status,facing,floor,parking_2,gated_security,amenities
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-dhanori-pune/8a9fab838ba78f5b018ba868bede2469/detail,3 BHK Flat In Goodwill Metropolis East Phase 2 For Sale  In Dhanori,"Near Zudio, Lohegaon, Dhanori, Pune",80.69 Lacs,1,"46,245",Month,"1,227",Sq.Ft,3,"Dec 27, 2023 ",3,2,Goodwill Metropolis East Phase 2,Bike and Car,Full ,Under Construction,Self Owned,NA,VitrifiedTiles,"1,227 sq.ft",859 sq.ft,Unfurnished,North-East,11/12,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']"
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-kothrud-pune/8a9f878497a12df40197a16caed1163f/detail,"3 BHK Flat In Mokate Heritage, Kothrud For Sale  In Kothrud","Kothrud, Pune, Maharashtra 411038",2.25 Crores,1,1.29 Lacs,Month,"1,499",Sq.Ft,3,"Jun 24, 2025 ",3,1,"Mokate Heritage, Kothrud",Car,Full ,1-3 years,Self Owned, ₹2.0 per sq.ft/m,VitrifiedTiles,"1,499 sq.ft","1,111 sq.ft",Fully furnished,North,4/6,Car,Yes,"['Lift', 'Intercom', ""Children's play area"", 'Fire safety', 'Security', 'Gas pipeline', 'Sewage treatment plant']"
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-bavdhan-pune/8a9f9b85976db4f201976e1714dd2fdb/detail,3 BHK Flat In Rohan Ishan For Sale  In Bavdhan,"Siddharth Nagar, Bavdhan, Pune, Maharashtra 411021",1.45 Crores,1,"83,106",Month,"1,650",Sq.Ft,3,"Jun 14, 2025 ",3,3,Rohan Ishan,Car,Full ,5-10 years,Self Owned, ₹2.1 per sq.ft/m,VitrifiedTiles,"1,650 sq.ft","1,270 sq.ft",Semi,West,8/11,Car,Yes,"['Intercom', 'Internet provider', 'Lift', 'Club house', 'Gas pipeline', 'Fire safety', 'Sewage treatment plant', 'Park', 'Shopping center', ""Children's play area"", 'Security', 'Swimming pool', 'Gym', 'Visitor parking']"
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-lohegaon-pune/8a9fbd83955a63b501955a98ec7714b9/detail,2 BHK Flat In Belmont Skyverse For Sale  In Lohegaon,"Near Vajra Fitness Center, Khandwe Nagar, Lohegaon, Pune.",57 Lacs,1,"32,669",Month,944,Sq.Ft,2,"Jun 23, 2025 ",2,1,Belmont Skyverse,Bike and Car,Full ,Under Construction,Self Owned,NA,VitrifiedTiles,944 sq.ft,661 sq.ft,Unfurnished,North,4/10,Bike and Car,Yes,"['Lift', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']"
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-bavdhan-pune/8a9f9b86961a469d01961a55012c03f4/detail,"2 BHK Flat In Ganga Legend A4 And B1, Bavdhan For Sale  In Bavdhan","DSK Raanwaara Road, Patil Nagar, Bavdhan, Pune, Maharashtra, INDIA.",1.05 Crores,1,"60,180",Month,"1,066",Sq.Ft,2,"Apr 9, 2025 ",2,2,"Ganga Legend A4 And B1, Bavdhan",Bike and Car,Full ,3-5 years,Self Owned,NA,VitrifiedTiles,"1,066 sq.ft",820 sq.ft,Semi,West,21/23,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']"
https://www.nobroker.in/property/buy/1-bhk-apartment-for-sale-in-bavdhan-pune/8a9fbb83965b05e901965b741fa10a6a/detail,1 BHK Flat In Orchid Park For Sale  In Bavdhan,"Mumbai Banglore Exp Way, Sunarwadi  near  Crystal Honda",60 Lacs,1,"34,388",Month,636,Sq.Ft,1,"May 26, 2025 ",1,2,Orchid park,Car,Partial ,3-5 years,Self Owned, ₹2.8 per sq.ft/m,VitrifiedTiles,636 sq.ft,441 sq.ft,Semi,West,9/10,Car,Yes,"['Lift', 'Internet provider', 'Club house', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Visitor parking']"
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-kothrud-pune/8a9f848497718b1e0197720a019b255c/detail,3 BHK Villa In Wonder Futura Phase Ii For Sale  In Kothrud,"Near Wonder Fun Mall, Kothrud, Pune, Maharashtra, INDIA.",1.5 Crores,1,"85,914",Month,"1,250",Sq.Ft,3,"Jun 15, 2025 ",3,NA,Wonder Futura Phase Ii,Bike and Car,None ,>10 years,Self Owned, ₹2.0 per sq.ft/m,NA,"1,250 sq.ft",875 sq.ft,Fully furnished,West,7,Bike and Car,Yes,['Security']
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-kothrud-pune/8a9f8d8897bc44c90197bc934f831918/detail,"2 BHK Flat In Guruganeshnagar Apartment, Kothrud For Sale  In Kothrud","DP Road, Shastri Nagar, Kothrud, Pune, Maharashtra, INDIA",1.65 Crores,1,"94,568",Month,"1,250",Sq.Ft,2,"Jun 29, 2025 ",3,NA,"Guruganeshnagar Apartment, Kothrud",Car,Partial ,Newly Constructed,Self Owned, ₹2.4 per sq.ft/m,Marble/Granite,"1,250 sq.ft",980 sq.ft,Unfurnished,East,3/7,Car,Yes,"['Lift', 'Gym', 'Club house', 'Security', 'Gas pipeline']"
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-lohegaon-pune/ff808181609813b701609d1d31f52723/detail,2 BHK Flat In Divine Homes For Sale  In Lohegaon,"near zudio  ,Porwal Road,Lohgaon, Pune, Maharashtra, INDIA.",55 Lacs,1,"31,522",Month,872,Sq.Ft,2,"Jun 7, 2025 ",2,1,Divine Homes,Bike and Car,Full ,5-10 years,Self Owned, ₹4.0 per sq.ft/m,VitrifiedTiles,872 sq.ft,692 sq.ft,Fully furnished,East,3/4,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Fire safety', 'Security']"
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-bhugaon-pune/8a9f8c8697c2462c0197c2801cfe0368/detail,2 BHK Flat In Skyi Songbirds For Sale  In Bhugaon,song city near Satayu hospital ,90 Lacs,1,"51,583",Month,"1,200",Sq.Ft,2,"Jul 1, 2025 ",2,1,Skyi Songbirds,Bike and Car,Full ,1-3 years,Self Owned,NA,VitrifiedTiles,"1,200 sq.ft",860 sq.ft,Semi,North,5/10,Bike and Car,Yes,"['Gym', 'Security']"
